solutionID                    DO0.pos_y                     DO1.pos_y                     DO1.velo                      DO1.acc                       obj                           fit_pena_a_max                fit_pena_curv_rate            fit_pena_max_latg             fit_pena_spd                  
21252d62                      38.518542481832164            89.80103167785268             6.305235940090344             0.5999262317411278            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
5136324f                      38.43075498779433             89.15269083869963             6.1251807993080325            0.6381948959835247            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
7de5eaa3                      38.37071093617893             89.1483117545117              6.128638792066696             0.6117444443178961            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
7ffc9f3f                      38.431500783953084            89.15269083869963             6.134731669636135             0.6381948959835247            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
de70aa7                       38.5177966856734              89.80105051153019             5.683403483249811             0.902940052862787             3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
28347028                      38.43128801002925             89.14576850677878             6.081323652677596             0.6381948959835247            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
108d09ba                      38.52081869012195             89.15269083869963             6.126453159030632             0.6113837693256519            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
67d856b9                      37.776564133119706            89.12927759150985             6.141256570858062             0.6312211168297734            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
3be4ab12                      37.71947335152192             89.96985929454105             6.315019930957567             0.6117670108733066            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
22cf807d                      38.43074309744744             89.15269083869963             6.134731669636135             0.6088402047064181            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
6dd7a36f                      38.43102412841561             89.15269083869963             6.134731669636135             0.6381948959835247            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
423e8435                      38.4269684574038              89.80663572891117             5.677343744370383             0.902940052862787             3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
1cc948aa                      38.62677683830918             89.13451909326102             6.134385022750275             0.6119533287890028            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
10070a64                      38.43075498779433             89.15269083869963             6.1251807993080325            0.6108911371766936            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
75e391ee                      38.432398476018               89.15269083869963             6.134731669636135             0.6381948959835247            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
25454250                      38.52081869012195             89.15269083869963             6.079204567592214             0.6113837693256519            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
61dddc16                      37.71947335152192             89.96985929454105             6.315019930957567             0.6182359122491978            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
264642f7                      38.43126199127058             89.81650805274847             5.678127791701596             0.9044414382830661            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
5a5e524a                      38.49810578023802             89.15280944624297             6.128587675053839             0.6117444443178961            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
3917a163                      38.43128801002925             89.15268195852826             6.081574898052921             0.6370223057239794            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
4018cd0e                      37.654718478978324            89.15269083869963             6.134731669636135             0.6381948959835247            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
1b1a7983                      38.07273450498787             89.18048869438178             6.1457002951149695            0.6119533287890028            3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
70a098ea                      38.4269684574038              89.76066612779042             5.666028472005697             0.902940052862787             3016.38880808296              1004.09720202074              1004.09720202074              4.097202020740035             1004.09720202074              
